"cust_id","location_1","location_2"
"01-1",entrance,dairy
"01-1",dairy,checkout
"01-1",checkout,exit
"01-2",entrance,dairy
"01-2",dairy,checkout
"01-2",checkout,exit
"01-3",entrance,dairy
"01-3",dairy,checkout
"01-3",checkout,exit
"01-4",entrance,dairy
"01-4",dairy,checkout
"01-4",checkout,exit
"01-5",entrance,spices
"01-5",spices,checkout
"01-5",checkout,exit
"01-6",entrance,spices
"01-6",spices,dairy
"01-6",dairy,spices
"01-6",spices,drinks
"01-6",drinks,spices
"01-6",spices,dairy
"01-6",dairy,spices
"01-6",spices,checkout
"01-6",checkout,exit
"01-7",entrance,spices
"01-7",spices,drinks
"01-7",drinks,spices
"01-7",spices,fruit
"01-7",fruit,checkout
"01-7",checkout,exit
"01-8",entrance,fruit
"01-8",fruit,checkout
"01-8",checkout,exit
"01-9",entrance,dairy
"01-9",dairy,fruit
"01-9",fruit,checkout
"01-9",checkout,exit
"01-10",entrance,fruit
"01-10",fruit,checkout
"01-10",checkout,exit
"01-11",entrance,drinks
"01-11",drinks,checkout
"01-11",checkout,exit
"01-12",entrance,spices
"01-12",spices,drinks
"01-12",drinks,checkout
"01-12",checkout,exit
"01-13",entrance,dairy
"01-13",dairy,spices
"01-13",spices,dairy
"01-13",dairy,fruit
"01-13",fruit,checkout
"01-13",checkout,exit
"01-14",entrance,fruit
"01-14",fruit,checkout
"01-14",checkout,exit
"01-15",entrance,spices
"01-15",spices,fruit
"01-15",fruit,checkout
"01-15",checkout,exit
"01-16",entrance,dairy
"01-16",dairy,spices
"01-16",spices,checkout
"01-16",checkout,exit
"01-17",entrance,fruit
"01-17",fruit,checkout
"01-17",checkout,exit
"01-18",entrance,fruit
"01-18",fruit,dairy
"01-18",dairy,checkout
"01-18",checkout,exit
"01-19",entrance,spices
"01-19",spices,drinks
"01-19",drinks,checkout
"01-19",checkout,exit
"01-20",entrance,drinks
"01-20",drinks,checkout
"01-20",checkout,exit
"01-21",entrance,drinks
"01-21",drinks,spices
"01-21",spices,checkout
"01-21",checkout,exit
"01-22",entrance,fruit
"01-22",fruit,dairy
"01-22",dairy,checkout
"01-22",checkout,exit
"01-23",entrance,fruit
"01-23",fruit,checkout
"01-23",checkout,exit
"01-24",entrance,drinks
"01-24",drinks,checkout
"01-24",checkout,exit
"01-25",entrance,spices
"01-25",spices,dairy
"01-25",dairy,spices
"01-25",spices,drinks
"01-25",drinks,checkout
"01-25",checkout,exit
"01-26",entrance,fruit
"01-26",fruit,dairy
"01-26",dairy,checkout
"01-26",checkout,exit
"01-27",entrance,spices
"01-27",spices,dairy
"01-27",dairy,checkout
"01-27",checkout,exit
"01-28",entrance,drinks
"01-28",drinks,checkout
"01-28",checkout,exit
"01-29",entrance,drinks
"01-29",drinks,checkout
