"cust_id","location_1","location_2"
"01-1",checkout,exit
"01-1",dairy,dairy
"01-2",dairy,checkout
"01-2",checkout,exit
"01-3",dairy,checkout
"01-3",checkout,exit
"01-4",checkout,exit
"01-4",dairy,checkout
"01-5",checkout,exit
"01-5",spices,checkout
"01-6",checkout,exit
"01-6",spices,spices
"01-6",spices,spices
"01-6",spices,dairy
"01-6",dairy,spices
"01-6",spices,dairy
"01-6",dairy,drinks
"01-6",drinks,spices
"01-7",spices,drinks
"01-7",drinks,checkout
"01-7",checkout,exit
"01-7",fruit,spices
"01-7",spices,checkout
"01-8",checkout,exit
"01-8",fruit,checkout
"01-9",checkout,exit
"01-9",fruit,dairy
"01-9",dairy,checkout
"01-10",checkout,exit
"01-10",fruit,checkout
"01-11",checkout,exit
"01-11",drinks,checkout
"01-12",checkout,exit
"01-12",spices,drinks
"01-12",drinks,spices
"01-13",spices,dairy
"01-13",dairy,checkout
"01-13",checkout,exit
"01-13",fruit,dairy
"01-13",dairy,fruit
"01-14",fruit,checkout
"01-14",checkout,exit
"01-15",spices,fruit
"01-15",fruit,checkout
"01-15",checkout,exit
"01-16",checkout,exit
"01-16",dairy,spices
"01-16",spices,fruit
"01-17",fruit,checkout
"01-17",checkout,exit
"01-18",dairy,checkout
"01-18",checkout,exit
"01-18",fruit,spices
"01-19",spices,checkout
"01-19",checkout,exit
"01-19",drinks,drinks
"01-20",drinks,checkout
"01-20",checkout,exit
"01-21",checkout,exit
"01-21",spices,drinks
"01-21",drinks,dairy
"01-22",dairy,fruit
"01-22",fruit,checkout
"01-22",checkout,exit
"01-23",checkout,exit
"01-23",fruit,checkout
"01-24",checkout,exit
"01-24",drinks,checkout
"01-25",checkout,exit
"01-25",spices,dairy
"01-25",dairy,spices
"01-25",spices,drinks
"01-25",drinks,dairy
"01-26",dairy,fruit
"01-26",fruit,checkout
"01-26",checkout,exit
"01-27",spices,dairy
"01-27",dairy,checkout
"01-27",checkout,exit
"01-28",checkout,exit
"01-28",drinks,checkout
"01-29",checkout,exit
"01-29",drinks,dairy
"01-30",dairy,spices
"01-30",spices,drinks
"01-30",drinks,fruit
"01-30",fruit,fruit
"01-30",fruit,checkout
"01-30",checkout,exit
"01-31",spices,checkout
"01-31",checkout,exit
"01-32",checkout,exit
"01-32",drinks,checkout
"01-33",checkout,exit
