id,title,comb_feat
19995,Avatar,Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Lightstorm Entertainment 7.2
285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions 6.9
206647,Spectre,Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom Columbia Pictures Danjaq B24 6.3
49026,The Dark Knight Rises,Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Legendary Pictures Warner Bros. DC Entertainment Syncopy 7.6
49529,John Carter,Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d Walt Disney Pictures 6.1
559,Spider-Man 3,Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge Columbia Pictures Laura Ziskin Productions Marvel Enterprises 5.9
38757,Tangled,Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick Walt Disney Pictures Walt Disney Animation Studios 7.4
99861,Avengers: Age of Ultron,Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d Marvel Studios Prime Focus Revolution Sun Studios 7.3
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Warner Bros. Heyday Films 7.4
209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe DC Comics Atlas Entertainment Warner Bros. DC Entertainment Cruel & Unusual Films RatPac-Dune Entertainment 5.7
1452,Superman Returns,Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor DC Comics Legendary Pictures Warner Bros. Bad Hat Harry Productions 5.4
10764,Quantum of Solace,Adventure Action Thriller Crime killing undercover secret agent british secret service Eon Productions 6.1
58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions 7.0
57201,The Lone Ranger,Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto Walt Disney Pictures Jerry Bruckheimer Films Infinitum Nihil Silver Bullet Productions (II) Blind Wink Productions Classic Media 5.9
49521,Man of Steel,Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe Legendary Pictures Warner Bros. DC Entertainment Syncopy Cruel and Unusual Films 6.5
2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world Walt Disney Walden Media Stillking Films Ozumi Films Propeler Silverbell Films Revolution Sun Studios 6.3
24428,The Avengers,Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe Paramount Pictures Marvel Studios 7.4
1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Walt Disney Pictures Jerry Bruckheimer Films Moving Picture Company (MPC) 6.4
