,country,year,income,happiness_rate,lifeExp,continent
1936,Togo,2006,1190.0,32.0,57.5,Africa
166,Benin,2006,2610.0,33.3,59.1,Africa
1921,Chad,2006,1570.0,34.3,53.9,Africa
1081,Cambodia,2006,2630.0,35.7,64.5,Asia
1786,Sierra Leone,2006,1260.0,36.3,53.7,Africa
721,Georgia,2006,8050.0,36.8,71.5,Europe
2056,Uganda,2006,1590.0,37.3,55.5,Africa
1456,Niger,2006,981.0,37.4,56.7,Africa
856,Haiti,2006,2630.0,37.5,59.5,North America
2206,Zimbabwe,2006,2230.0,38.3,47.4,Africa
1411,Malawi,2006,795.0,38.3,50.1,Africa
406,Cameroon,2006,3000.0,38.5,55.4,Africa
2041,Tanzania,2006,1780.0,39.2,57.3,Africa
1261,Madagascar,2006,1600.0,39.8,61.5,Africa
1306,Mali,2006,1980.0,40.1,56.6,Africa
1711,Rwanda,2006,1230.0,42.1,60.2,Africa
1066,Kenya,2006,3100.0,42.2,57.5,Africa
76,Armenia,2006,8460.0,42.9,73.1,Europe
181,Bangladesh,2006,2400.0,43.2,67.8,Asia
1156,Sri Lanka,2006,7420.0,43.4,73.6,Asia
1756,Senegal,2006,2650.0,44.2,63.7,Africa
1486,Nicaragua,2006,4440.0,44.6,74.3,North America
736,Ghana,2006,3210.0,45.4,60.3,Africa
391,China,2006,5980.0,45.6,73.7,Asia
1531,Nepal,2006,2030.0,45.7,68.0,Asia
1366,Mozambique,2006,876.0,45.9,52.3,Africa
1966,Tajikistan,2006,1910.0,46.1,67.6,Asia
1111,Lebanon,2006,14300.0,46.5,75.1,Asia
1621,Philippines,2006,5230.0,46.7,70.2,Asia
1471,Nigeria,2006,4130.0,47.1,57.2,Africa
1216,Latvia,2006,22900.0,47.1,70.5,Europe
1666,Paraguay,2006,8850.0,47.3,75.6,South America
121,Azerbaijan,2006,9610.0,47.3,67.7,Europe
316,Botswana,2006,13300.0,47.4,51.4,Africa
2071,Ukraine,2006,11900.0,48.0,68.4,Europe
1606,Peru,2006,8020.0,48.1,77.7,South America
2191,Zambia,2006,2480.0,48.2,50.0,Africa
886,Indonesia,2006,6970.0,49.5,68.4,Asia
586,Ecuador,2006,9760.0,50.2,73.6,South America
2176,South Africa,2006,11900.0,50.8,52.3,Africa
556,Dominican Republic,2006,11100.0,50.9,72.7,North America
1246,Moldova,2006,7600.0,51.0,69.4,Europe
2116,Uzbekistan,2006,3620.0,52.3,65.0,Asia
2146,Vietnam,2006,4170.0,52.9,72.9,Asia
901,India,2006,3450.0,53.5,65.6,Asia
631,Estonia,2006,28900.0,53.7,73.3,Europe
271,Bolivia,2006,5920.0,53.7,69.3,South America
826,Honduras,2006,4730.0,54.0,71.1,North America
1651,Portugal,2006,31600.0,54.1,79.2,Europe
466,Cuba,2006,6230.0,54.2,78.4,North America
1051,Kazakhstan,2006,18100.0,54.8,64.8,Asia
241,Belarus,2006,13200.0,56.6,69.5,Europe
1801,El Salvador,2006,7140.0,57.0,73.7,North America
2086,Uruguay,2006,13900.0,57.9,75.9,South America
1876,Slovenia,2006,32900.0,58.1,78.3,Europe
1996,Trinidad and Tobago,2006,27600.0,58.3,72.5,North America
1951,Thailand,2006,12900.0,58.9,75.4,Asia
796,Guatemala,2006,6970.0,59.0,68.9,North America
1186,Lithuania,2006,23100.0,59.5,70.9,Europe
1426,Malaysia,2006,18800.0,60.1,74.4,Asia
421,Colombia,2006,10600.0,60.2,76.7,South America
376,Chile,2006,19700.0,60.6,78.2,South America
1096,Kuwait,2006,75200.0,60.8,78.8,Asia
1591,Panama,2006,17400.0,61.3,78.2,North America
