,prices,market_caps,total_volumes
0,"[1367280000000, 106.3128]","[1367280000000, 1179936531.5728781]","[1367280000000, 0.0]"
1,"[1367366400000, 88.6291]","[1367366400000, 983973562.5649999]","[1367366400000, 0.0]"
2,"[1367452800000, 80.5923]","[1367452800000, 895037935.3354017]","[1367452800000, 0.0]"
3,"[1367539200000, 75.1575]","[1367539200000, 834954730.4999999]","[1367539200000, 0.0]"
4,"[1367625600000, 86.2273]","[1367625600000, 958267697.6012692]","[1367625600000, 0.0]"
5,"[1367712000000, 88.4403]","[1367712000000, 983208503.1599998]","[1367712000000, 0.0]"
6,"[1367798400000, 85.5829]","[1367798400000, 951799524.668314]","[1367798400000, 0.0]"
7,"[1367884800000, 83.7734]","[1367884800000, 932031433.375]","[1367884800000, 0.0]"
8,"[1367971200000, 86.563]","[1367971200000, 963424549.25]","[1367971200000, 0.0]"
9,"[1368057600000, 85.7885]","[1368057600000, 955160580.15]","[1368057600000, 0.0]"
10,"[1368144000000, 90.0629]","[1368144000000, 1003134089.635]","[1368144000000, 0.0]"
11,"[1368230400000, 89.0164]","[1368230400000, 991885265.4930785]","[1368230400000, 0.0]"
12,"[1368316800000, 88.3954]","[1368316800000, 985345733.8198513]","[1368316800000, 0.0]"
13,"[1368403200000, 90.8763]","[1368403200000, 1013397971.82]","[1368403200000, 0.0]"
14,"[1368489600000, 85.8463]","[1368489600000, 957639084.6073747]","[1368489600000, 0.0]"
15,"[1368576000000, 88.2102]","[1368576000000, 984324390.5790865]","[1368576000000, 0.0]"
16,"[1368662400000, 91.5815]","[1368662400000, 1022285361.9660434]","[1368662400000, 0.0]"
17,"[1368748800000, 95.8971]","[1368748800000, 1070842159.0429909]","[1368748800000, 0.0]"
18,"[1368835200000, 96.0028]","[1368835200000, 1072363276.3499999]","[1368835200000, 0.0]"
19,"[1368921600000, 95.3844]","[1368921600000, 1065841978.1272587]","[1368921600000, 0.0]"
20,"[1369008000000, 94.9896]","[1369008000000, 1061741504.52]","[1369008000000, 0.0]"
21,"[1369094400000, 95.4072]","[1369094400000, 1066755059.1281497]","[1369094400000, 0.0]"
22,"[1369180800000, 95.9877]","[1369180800000, 1073651220.81]","[1369180800000, 0.0]"
23,"[1369267200000, 98.11]","[1369267200000, 1097789581.6401057]","[1369267200000, 0.0]"
24,"[1369353600000, 102.9938]","[1369353600000, 1152858525.0639832]","[1369353600000, 0.0]"
25,"[1369440000000, 101.9565]","[1369440000000, 1141673201.8351686]","[1369440000000, 0.0]"
26,"[1369526400000, 103.2175]","[1369526400000, 1156226952.375]","[1369526400000, 0.0]"
27,"[1369612800000, 100.3132]","[1369612800000, 1124139813.548856]","[1369612800000, 0.0]"
28,"[1369699200000, 99.7548]","[1369699200000, 1118266271.3358333]","[1369699200000, 0.0]"
29,"[1369785600000, 102.7794]","[1369785600000, 1152627289.9494665]","[1369785600000, 0.0]"
30,"[1369872000000, 99.6187]","[1369872000000, 1117619704.8520482]","[1369872000000, 0.0]"
31,"[1369958400000, 98.8856]","[1369958400000, 1109845004.1263323]","[1369958400000, 0.0]"
32,"[1370044800000, 99.3948]","[1370044800000, 1116064451.28]","[1370044800000, 0.0]"
33,"[1370131200000, 94.3005]","[1370131200000, 1059371817.0]","[1370131200000, 0.0]"
34,"[1370217600000, 92.9568]","[1370217600000, 1044778657.92]","[1370217600000, 0.0]"
35,"[1370390400000, 93.2043]","[1370390400000, 1048077693.6307446]","[1370390400000, 0.0]"
36,"[1370476800000, 90.9132]","[1370476800000, 1022737134.4212235]","[1370476800000, 0.0]"
37,"[1370563200000, 84.0138]","[1370563200000, 945497606.235]","[1370563200000, 0.0]"
38,"[1370649600000, 81.6081]","[1370649600000, 918746029.8171786]","[1370649600000, 0.0]"
39,"[1370736000000, 75.9808]","[1370736000000, 855739458.8578925]","[1370736000000, 0.0]"
40,"[1370822400000, 80.5148]","[1370822400000, 907132071.8195482]","[1370822400000, 0.0]"
41,"[1370908800000, 82.2838]","[1370908800000, 927414538.7090839]","[1370908800000, 0.0]"
42,"[1370995200000, 81.7592]","[1370995200000, 921877903.2046136]","[1370995200000, 0.0]"
43,"[1371081600000, 78.0]","[1371081600000, 879888750.0]","[1371081600000, 0.0]"
44,"[1371168000000, 74.8329]","[1371168000000, 844502372.5669706]","[1371168000000, 0.0]"
45,"[1371254400000, 74.8098]","[1371254400000, 844585809.6239393]","[1371254400000, 0.0]"
46,"[1371340800000, 74.8707]","[1371340800000, 845589685.8000001]","[1371340800000, 0.0]"
47,"[1371427200000, 76.3907]","[1371427200000, 863111782.555]","[1371427200000, 0.0]"
48,"[1371513600000, 80.3631]","[1371513600000, 908287865.13]","[1371513600000, 0.0]"
49,"[1371600000000, 80.84]","[1371600000000, 913964914.3793525]","[1371600000000, 0.0]"
50,"[1371686400000, 83.571]","[1371686400000, 945129510.3]","[1371686400000, 0.0]"
51,"[1371772800000, 82.8054]","[1371772800000, 936783700.4183501]","[1371772800000, 0.0]"
52,"[1371859200000, 82.3009]","[1371859200000, 931419860.7137376]","[1371859200000, 0.0]"
53,"[1371945600000, 82.1938]","[1371945600000, 930579710.1865939]","[1371945600000, 0.0]"
54,"[1372032000000, 77.8076]","[1372032000000, 881229425.6999999]","[1372032000000, 0.0]"
55,"[1372118400000, 78.7549]","[1372118400000, 892259546.3789113]","[1372118400000, 0.0]"
56,"[1372204800000, 79.4311]","[1372204800000, 900242300.8332546]","[1372204800000, 0.0]"
57,"[1372291200000, 78.1492]","[1372291200000, 886034138.7589669]","[1372291200000, 0.0]"
58,"[1372377600000, 72.6188]","[1372377600000, 823638798.6599998]","[1372377600000, 0.0]"
59,"[1372464000000, 72.9441]","[1372464000000, 827638347.5606813]","[1372464000000, 0.0]"
60,"[1372550400000, 74.9331]","[1372550400000, 850516911.5771444]","[1372550400000, 0.0]"
61,"[1372636800000, 65.0205]","[1372636800000, 738259012.125]","[1372636800000, 0.0]"
62,"[1372723200000, 67.1281]","[1372723200000, 762462776.4887595]","[1372723200000, 0.0]"
63,"[1372809600000, 59.1872]","[1372809600000, 672496803.5792549]","[1372809600000, 0.0]"
64,"[1372896000000, 59.7792]","[1372896000000, 679501199.52]","[1372896000000, 0.0]"
65,"[1372982400000, 51.2984]","[1372982400000, 583320518.7]","[1372982400000, 0.0]"
66,"[1373068800000, 52.057]","[1373068800000, 592179608.8929198]","[1373068800000, 0.0]"
67,"[1373155200000, 56.5087]","[1373155200000, 643084546.0149244]","[1373155200000, 0.0]"
68,"[1373241600000, 58.1136]","[1373241600000, 661620430.3949834]","[1373241600000, 0.0]"
69,"[1373328000000, 57.7136]","[1373328000000, 657344918.5061061]","[1373328000000, 0.0]"
70,"[1373414400000, 65.9978]","[1373414400000, 752013582.045]","[1373414400000, 0.0]"
71,"[1373500800000, 70.2041]","[1373500800000, 800268821.4128233]","[1373500800000, 0.0]"
72,"[1373587200000, 67.6164]","[1373587200000, 771085592.5137521]","[1373587200000, 0.0]"
73,"[1373673600000, 69.9784]","[1373673600000, 798264602.272321]","[1373673600000, 0.0]"
74,"[1373760000000, 69.1701]","[1373760000000, 789338054.6550001]","[1373760000000, 0.0]"
75,"[1373846400000, 71.3026]","[1373846400000, 813967308.255]","[1373846400000, 0.0]"
76,"[1373932800000, 71.0398]","[1373932800000, 811276292.3417991]","[1373932800000, 0.0]"
77,"[1374019200000, 68.9509]","[1374019200000, 787689910.3312632]","[1374019200000, 0.0]"
